;Marine;Sniper;Bazooka;Magnet;DragonHead;Artillery;SmallTank;BigTank;AntiAir;RocketLauncher;LaserShark;TransportBoat;DroneBoat;WaveBreaker;Submarine;AntiAirBoat;Destroyer;BattleShip;WarShip;SwimmingFactory;TransportHeli;AttackHeli;Blimp;Bomber;Fighter;LightDrone;HeroCrystal;Pyramid;MegaCannon;LaserCannon;DroneTower;ShockTower;LifeCrystal;Tentacle;Pawn;Rook;Bishop;Knight;Queen;King;Unknown;0
Marine;60;50;50;10;10;10;5;5;5;20;50;10;50;5;;5;5;20;3;10;30;10;5;;;30;15;5;5;5;5;5;5;15;20;10;10;10;5;5;10;5
Sniper;75;60;60;10;10;30;5;5;5;30;60;10;60;5;;5;5;30;3;15;50;20;5;;;100;10;5;5;5;5;5;5;10;20;10;10;10;10;10;10;5
Bazooka;75;60;60;80;60;70;60;20;60;80;60;40;60;50;;60;40;80;15;40;50;15;5;;;50;25;25;25;25;25;25;25;25;40;25;25;25;25;25;25;20
Magnet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DragonHead;80;70;80;10;10;20;10;5;10;20;70;20;60;10;;10;5;20;3;5;60;30;30;;;60;15;5;5;5;5;5;5;15;20;10;10;10;5;5;10;5
Artillery;100;100;100;85;85;80;60;50;60;85;100;70;110;60;80;60;55;85;35;50;;;;;;;80;75;75;75;75;75;75;80;80;65;65;65;55;55;60;50
SmallTank;75;75;75;80;60;70;60;20;60;80;60;40;60;50;70;60;40;80;20;40;50;20;5;;;50;80;50;50;50;50;50;50;80;60;50;50;50;40;40;60;20
BigTank;105;120;100;105;120;110;90;60;110;120;105;110;120;90;110;110;85;120;50;60;60;25;10;;;60;120;75;75;75;75;75;75;120;105;80;80;80;65;65;80;60
AntiAir;;;;;;;;;;;;;;;;;;;;;110;105;90;80;80;140;;;;;;;;;;;;;;;10;
RocketLauncher;105;105;105;85;95;85;75;60;75;90;105;80;120;75;85;75;70;90;45;60;;;;;;;80;75;75;75;75;75;75;80;80;65;65;65;55;55;60;60
LaserShark;75;60;75;10;10;30;5;5;5;30;60;10;60;5;;5;5;30;3;15;50;20;5;;;120;10;5;5;5;5;5;5;10;20;10;10;10;10;10;10;5
WaveBreaker;75;60;75;80;60;70;60;20;60;80;60;40;60;60;70;60;40;80;20;40;50;20;5;;;50;80;25;25;25;25;25;25;80;20;10;10;10;10;10;25;20
Submarine;100;100;100;85;85;80;60;50;60;85;100;70;110;60;80;60;55;85;35;50;;;;;;;80;75;75;75;75;75;75;80;80;65;65;65;55;55;60;50
AntiAirBoat;;;;;;;;;;;;;;;;;;;;;110;105;90;80;80;140;;;;;;;;;;;;;;;10;
Destroyer;95;110;90;95;110;100;70;50;100;110;95;100;110;70;100;100;60;110;35;50;80;50;35;25;25;80;100;65;65;65;65;65;65;100;80;60;60;60;50;50;70;55
BattleShip;105;105;105;85;95;85;75;60;75;90;105;80;120;75;85;75;70;90;45;60;;;;;;;80;75;75;75;75;75;75;80;80;65;65;65;55;55;60;60
WarShip;110;130;110;110;130;115;105;65;115;130;110;115;130;105;115;115;95;130;60;70;70;35;20;;;65;130;80;80;80;80;80;80;130;110;85;85;85;70;70;90;65
SwimmingFactory;60;50;60;10;10;10;5;5;5;20;50;10;50;5;;5;5;20;3;10;30;10;5;;;30;15;5;5;5;5;5;5;15;20;10;10;10;5;5;10;5
AttackHeli;80;70;80;80;80;70;75;35;10;80;70;70;80;75;;10;60;80;35;30;90;70;45;;;105;80;50;50;50;50;50;50;80;60;50;50;50;40;40;70;30
Blimp;80;70;80;10;10;20;10;5;10;20;70;20;60;10;;10;10;20;3;5;60;30;30;10;10;60;15;5;5;5;5;5;5;15;20;10;10;10;5;5;10;5
Bomber;120;110;120;110;110;110;100;90;100;110;110;100;120;100;60;100;95;110;75;80;;;;;;;120;75;75;75;75;75;75;120;105;80;80;80;65;65;100;90
Fighter;;;;;;;;;;;;;;;;;;;;;120;120;90;70;60;140;;;;;;;;;;;;;;;;0
LightDrone;50;50;50;60;50;50;45;15;45;55;50;25;60;45;;45;30;55;15;30;60;30;30;;;60;25;25;25;25;25;25;25;25;40;25;25;25;25;25;25;15
MegaCannon;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
LaserCannon;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
ShockTower;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
Rook;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
0;105;120;100;105;120;110;90;60;110;120;105;110;120;90;;110;75;120;60;60;60;25;10;;;60;50;50;50;50;50;50;50;50;60;40;40;40;40;40;80;60
